"date","q1_easy","q1_borough","q2_medium","q2_borough","q3_medium","q3_borough","q4_hard","q4_borough","q5_im_walking_here","q5_borough","status","notes"
"2026-08-23","Empire State Building","Manhattan","Gracie Mansion","Manhattan","Green-Wood Cemetery","Brooklyn","Harlem Courthouse","Manhattan","Hertlein and Schlatter Silk Trimmings Factory","The Bronx","scheduled",""
"2026-08-24","Brooklyn Museum","Brooklyn","King Manor","Queens","Edgar Allan Poe Cottage","The Bronx","Brooklyn Trust Company","Brooklyn","Daily News Building","Manhattan","scheduled",""
"2026-08-25","Rockefeller Center","Manhattan","Garibaldi Memorial","Staten Island","Riverside Park and Drive","Manhattan","Whitney Museum of American Art (NY Studio School)","Manhattan","Flushing Armory","Queens","scheduled",""
"2026-08-26","Guggenheim Museum","Manhattan","Fort Tompkins Quadrangle","Staten Island","Ocean Parkway","Brooklyn","New Dorp Light","Staten Island","Candler Building","Manhattan","scheduled",""
"2026-08-27","Stonewall Inn","Manhattan","Theodore Roosevelt Birthplace","Manhattan","Wave Hill","The Bronx","Mary A. Whalen","Brooklyn","Moore-McMillen House","Staten Island","scheduled",""
"2026-08-28","Trans World Airlines Flight Center","Queens","High Bridge Aqueduct and Water Tower","The Bronx","Prospect Park Boathouse","Brooklyn","Columbus Monument","Manhattan","Cary Building","Manhattan","scheduled",""
"2026-08-29","Coney Island Cyclone","Brooklyn","Fort Wadsworth","Staten Island","Jeffrey's Hook Lighthouse","Manhattan","Casemate Fort, Whiting Quadrangle","Brooklyn","City & Suburban Homes Company's York Avenue Estate","Manhattan","scheduled",""
"2026-08-30","Manhattan Bridge","Brooklyn","Steinway House","Queens","Ward, Caleb T., Mansion","Staten Island","Silver Lake Cemetery","Staten Island","Kreischer House","Staten Island","scheduled",""
"2026-08-31","Hotel Chelsea","Manhattan","African Burial Ground","Manhattan","Rego Park Jewish Center","Queens","Appellate Division Courthouse of New York State","Manhattan","Lincoln Club","Brooklyn","scheduled",""
"2026-09-01","Apollo Theater","Manhattan","Loew's Kameo Theater","Brooklyn","Ed Sullivan Theater","Manhattan","University Settlement House","Manhattan","Dodge, William E., House","The Bronx","scheduled",""
"2026-09-02","Woolworth Building","Manhattan","Voorlezer's House","Staten Island","Hamilton Grange National Memorial","Manhattan","Beth-El Jewish Center of Flatbush","Brooklyn","Congregation Tifereth Israel","Brooklyn","scheduled",""
"2026-09-03","Louis Armstrong House","Queens","New York Public Library","Manhattan","Parkway Village","Queens","Gage and Tollner Restaurant","Brooklyn","Spear & Company Factory","Queens","scheduled",""
"2026-09-04","Statue of Liberty and Ellis Island","Manhattan","McGolrick, Monsignor, Park and Shelter Pavilion","Brooklyn","Morgan Library","Manhattan","Lighthouse","Manhattan","Cornell Farmhouse","Queens","scheduled",""
"2026-09-05","Prospect Park","Brooklyn","Old Town of Flushing Burial Ground","Queens","Eastern Parkway","Brooklyn","DeLamar Mansion","Manhattan","LaTourette House","Staten Island","scheduled",""
"2026-09-06","The Met Cloisters","Manhattan","Trinity Church and Graveyard","Manhattan","RKO Keith's Theater","Queens","Casita Rincon Criollo","The Bronx","Bayard-Condict Building","Manhattan","scheduled",""
"2026-09-07","Grand Central Terminal","Manhattan","Loew's King Theatre","Brooklyn","Crotona Play Center","The Bronx","Trinity Chapel","Queens","New York Congregational Home for the Aged","Brooklyn","scheduled",""
"2026-09-08","Fraunces Tavern","Manhattan","Castle Clinton National Monument","Manhattan","Queensboro Bridge","Manhattan","First Reformed Church of College Point","Queens","Trinity Lutheran Church","Queens","scheduled",""
"2026-09-09","New York Botanical Garden","The Bronx","Parkway Theater","Brooklyn","B & B Carousell","Brooklyn","Joralemon Street Tunnel (IRT)","Brooklyn","Decker Building","Manhattan","scheduled",""
"2026-09-10","New York Public Library and Bryant Park","Manhattan","Flushing Town Hall","Queens","U.S. Army Military Ocean Terminal","Brooklyn","Ottendorfer Public Library and Stuyvesant Polyclinic Hospital","Manhattan","English Evangelical Lutheran Church of the Reformation","Brooklyn","scheduled",""
"2026-09-11","St. Patrick's Cathedral","Manhattan","American Stock Exchange","Manhattan","Fort Schuyler","The Bronx","Sheffield Farms Stable","Manhattan","Boardman- Mitchell House","Staten Island","scheduled",""
"2026-09-12","Chrysler Building","Manhattan","Ocean Parkway Jewish Center","Brooklyn","Old Orchard Shoal Light Station","Staten Island","Flushing High School","Queens","Valentine-Varian House","The Bronx","scheduled",""
"2026-09-13","Radio City Music Hall","Manhattan","Whitney Museum of American Art","Manhattan","Staten Island Ferry Terminal","Staten Island","United Workers' Cooperatives","The Bronx","Conrad Voelcker House","Queens","scheduled",""
"2026-09-14","USS Intrepid (CV-11)","Manhattan","Long Island Motor Parkway","Queens","College of the City of New York","Manhattan","Jewish Center of Kings Highway","Brooklyn","McFarlane-Bredt House","Staten Island","scheduled",""
